taxonID,vernacularName,language,countryCode,rightsHolder,license
wfo-0000451480,Japanisches Lippenmäulchen,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000561206,Besen-Radmelde,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001296633,Acker-Winde,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595505,Klebriges Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000102105,Drüsenlose Acker-Gänsedistel,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595550,Gemeines Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595567,Hain-Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595577,Gewöhnliches Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000884488,Hillmans Hirse,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595603,Knäuel-Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595607,Blasses Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489398,Knöllchen-Knöterich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018633,Berg-Nelkenwurz,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001296657,Quendel-Seide,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000000138,Weicher Pippau,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018677,Siebenblättriges Fingerkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018725,Thüringer Fingerkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595756,Breitblättriges Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000526081,Knoblauchhederich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000751720,Gemeiner Germer,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000751755,Schwarzer Germer,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000052161,Gewöhnliches Graues Milchkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489629,Schlangen-Knöterich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595778,Ligurisches Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018785,Grauflaumiges Fingerkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018786,Rätische Rose,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001296723,Echte Zaunwinde,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000372740,Frischgrünes Zypergras,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489656,Gewöhnlicher Vogel-Knöterich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000000404,Alant-Greiskraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000629095,Riesen-Kürbis,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000372823,Striemensame,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000288466,Purpur-Waldmeister,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018841,Weicher Frauenmantel,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018842,Vielstängeliges Fingerkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018851,Busch-Rose,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000372873,Bärenwurz,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000629123,Zuchetti,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489772,Milder Knöterich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
