taxonID,description,type,language,rightsHolder,source,license
wfo-0000452390,"3–9. Sources, fossés, champs humides ; coll.-subalp.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000596228,5–7. Cultivé ou subspontané ; coll.-mont.,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000596257,"7–8. Eboulis, moraines ; <b>calcifuge</b> ; (subalp.-)alp. A (manque dans chaînes ext. nord).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001019042,"5–7. Forêts de chênes pubescents, autrefois cultivé ; coll. JN (surtout SH), dispersé P. (Mont Vuache).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000452426,"4–5. Endroits sablonneux et marneux, temporairement inondés ; coll. P (adventice), autrefois JN.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001129323,"5–8. Eaux stagnantes, eutrophes.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000001149,7–8. Cultivé comme plante ornementale et parfois subspontané (Diablerets) ; coll.,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000909244,Surtout à l'ouest de l'aire de distribution.,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000373464,"7–9. Sols argileux, humides, temporairement inondés ; coll.-mont. TI, P, très dispersé ailleurs.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001019139,"6. Pinèdes, rocailles ; coll.-mont. CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000373504,"7–9. Eaux stagnantes ou lentes, oligotrophes, non calcaires ; coll.-mont. TI mérid, PC.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000373510,"7–9. Eaux stagnantes ou lentes ; coll. Plante d'aquarium, rarement subspontanée et naturalisée (P).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000001408,"7–9. Pelouses, arêtes ; sols pauvres en calcaire ; (subalp.-)alp. A.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000723167,6–9. Cultivé et subspontané ; coll.,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000053305,"7–9. Pâturages, coteaux secs ; mont.-subalp. J, A, rare P. Carte incl. les deux subsp.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000373555,"6–9. Eaux stagnantes ou lentes, peu calcaires ; coll. CH (manque GR).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000373566,"6–9. Eaux stagnantes ou lentes, gén. calcaires ; coll.-subalp. CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
