taxonID,description,type,language,rightsHolder,source,license
wfo-0000693173,"5–9. Weinberge, Ödland, Schuttplätze, kollin. TI, zerstreut AN und M.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000373976,"7–9. Lehmig-feuchte, zeitweise überschwemmte Orte, kollin-montan. CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000932960,"4–6. Hecken,Wegränder, Lägerstellen, kollin-montan(-subalpin). CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000932963,"4–5. Trockenrasen, Gebüsche, Kastanienwälder, kollin-montan. VS, TI.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000752682,"Kollin. TI, GR (Puschlav), VS, BE, AG.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000527292,"6–7. Stehende und langsam fliessende Gewässer, kollin-montan(-subalpin). M, seltener A und J.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001019409,"6–8. Wälder, Waldschläge, kollin-montan. CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001273396,6–8. In künstlichen Feuchtbiotopen oft angepflanzt und gelegentlich verwildert.,ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000693355,"5–9. Äcker, Ödland, Schuttplätze, kollin-montan(-subalpin). CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000374132,"7–9. Sumpfwiesen, kollin. Südliches TI, GR (Bergell), TG.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000693435,"5–9. Äcker, Gebüsche, Schuttplätze, kollin-montan(-subalpin). GR, VS, TI, SH, ME.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
