taxonID,Identifier,bibliographicCitation,url
wfo-4000007896,388933,"Beck, Hans T. 1992. Chimborazoa (Sapindaceae), a new genus from Ecuador. Brittonia. 44: 306-311.",https://doi.org/10.2307/2806929
wfo-4000010966,394467,"Reveal, James L. & Howell, J. T. 1976. Dedeckera (Polygonaceae), a new genus from California. Brittonia. 28: 245-251.",https://doi.org/10.2307/2805834
wfo-4000012165,129624,"Johnson, D. M. 1989. Revision of Disepalum (Annonaceae). Brittonia. 41 (4): 356-378.",https://doi.org/10.2307/2807547
wfo-4000012222,324632,"Smith, Albert C. 1933. The genera Sphyrospermum and Disterigma. Brittonia. 1: 203-232.",https://doi.org/10.2307/2804709
wfo-4000012222,324632,"Smith, Albert C. 1933. The genera Sphyrospermum and Disterigma. Brittonia. 1: 203-232.",https://doi.org/10.2307/2804709
wfo-4000012633,435662,"Skog, Laurence E. & Kvist, L. P. 1994. Novae gesneriaceae neotropicarum VI: Five new Gesneriaceae from northwestern South America. Brittonia. 46: 317-330.",https://doi.org/10.2307/2806915
wfo-4000014233,321032,"Pennell, Francis W. 1936. New and noteworthy Papuan Scrophulariaceae. Brittonia. 2: 177-188.",https://doi.org/10.2307/2804860
wfo-4000015356,435662,"Skog, Laurence E. & Kvist, L. P. 1994. Novae gesneriaceae neotropicarum VI: Five new Gesneriaceae from northwestern South America. Brittonia. 46: 317-330.",https://doi.org/10.2307/2806915
wfo-4000015736,479445,"Christensen, Carl F. A. 1937. Botanical Results of the Archbold Expedition No. 8: New and Noteworthy Papuan Ferns. Brittonia. 2 (4): 265-317.",https://doi.org/10.2307/2804755
wfo-4000016114,203896,"Gleason, Henry A. 1932. A Synopsis of the Melastomataceae of British Guiana. Brittonia. 1 (3): 127-184.",https://doi.org/10.2307/2804765
