WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000177592,85742930,85742923,Droogmansia chevalieri,FABACEAE,Droogmansia,chevalieri,,,,(Harms) Hutch. & Dalziel,Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000195034,85742962,85742959,Indigofera scarciesii,FABACEAE,Indigofera,scarciesii,,,,Scott-Elliot,Endangered,B2ab(iii),3.1,Decreasing,Global
wfo-0001244174,85742992,85742982,Utricularia pobeguinii,LENTIBULARIACEAE,Utricularia,pobeguinii,,,,Pellegr.,Endangered,"B1ab(i,iii)+2ab(i,iii)",3.1,Decreasing,Global
wfo-0001427614,85743164,85743161,Argyrella linearis,MELASTOMATACEAE,Argyrella,linearis,,,,(Jacq.-Fél.) Ver.-Lib. & G.Kadereit,Endangered,B1ab(iii),3.1,Unknown,Global
wfo-0001226668,85743186,85743183,Dissotis splendens,MELASTOMATACEAE,Dissotis,splendens,,,,A.Chev. & Jacq.-Fél.,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
wfo-0001259346,85743222,85743214,Heterotis sylvestris,MELASTOMATACEAE,Heterotis,sylvestris,,,,(Jacq.-Fél.) Jacq.-Fél.,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
wfo-0000162536,85743617,85743593,Heterotis pygmaea,MELASTOMATACEAE,Heterotis,pygmaea,,,,(A.Chev. & Jacq.-Fél.) Jacq.-Fél.,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
wfo-0001226563,85743732,85743729,Cailliella praerupticola,MELASTOMATACEAE,Cailliella,praerupticola,,,,Jacq.-Fél.,Endangered,D,3.1,Unknown,Global
wfo-0001226554,85744001,85743950,Osbeckia porteresii,MELASTOMATACEAE,Osbeckia,porteresii,,,,Jacq.-Fél.,Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,Decreasing,Global
wfo-0000845934,85748772,85748763,Anadelphia chevalieri,POACEAE,Anadelphia,chevalieri,,,,Reznik,Endangered,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,Decreasing,Global
wfo-0000845935,85748960,85748867,Anadelphia funerea,POACEAE,Anadelphia,funerea,,,,(Jacq.-Fél.) Clayton,Endangered,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,Decreasing,Global
wfo-0001334257,85753343,85749715,Noccaea oppositifolia,BRASSICACEAE,Noccaea,oppositifolia,,,,(Pers.) Al-Shehbaz & Menke,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global & Mediterranean
wfo-0000757073,85753353,85750354,Allium pseudocalyptratum,AMARYLLIDACEAE,Allium,pseudocalyptratum,,,,Mouterde,Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global & Mediterranean
wfo-0000546146,85753378,85750585,Arenaria libanotica,CARYOPHYLLACEAE,Arenaria,libanotica,,,,Kotschy,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global & Mediterranean
wfo-0000082015,85753383,85750731,Centaurea heterocarpa,ASTERACEAE,Centaurea,heterocarpa,,,,Boiss. & Gaill. ex Boiss. & Gaill.,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global & Mediterranean
wfo-0000029368,85753388,85750775,Centaurea mouterdei,ASTERACEAE,Centaurea,mouterdei,,,,Wagenitz,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global & Mediterranean
wfo-0000594555,85753398,85750887,Cephalaria kesruanica,CAPRIFOLIACEAE,Cephalaria,kesruanica,,,,Mouterde,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global & Mediterranean
wfo-0000598943,85753403,85750954,Chaerophyllum aurantiacum,APIACEAE,Chaerophyllum,aurantiacum,,,,Post,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global & Mediterranean
wfo-0000643731,85753418,85751440,Dianthus karami,CARYOPHYLLACEAE,Dianthus,karami,,,,(Boiss.) Mouterde,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global & Mediterranean
wfo-0000030342,85753423,85751732,Erigeron libanoticus,ASTERACEAE,Erigeron,libanoticus,,,,Vierh.,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global & Mediterranean
wfo-0000679294,85753433,85751826,Erysimum verrucosum,BRASSICACEAE,Erysimum,verrucosum,,,,Boiss. & Gaill.,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global & Mediterranean
wfo-0000970380,85753438,85751841,Galium thiebauti,RUBIACEAE,Galium,thiebauti,,,,Ehrend.,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global & Mediterranean
wfo-0000067370,85753463,85752453,Myopordon pulchellum,ASTERACEAE,Myopordon,pulchellum,,,,(C.Winkl. & Barbey) Wagenitz,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global & Mediterranean
wfo-0000123967,85753468,85752713,Scorzonera mackmeliana,ASTERACEAE,Scorzonera,mackmeliana,,,,Boiss.,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global & Mediterranean
wfo-0000912410,85955417,85955111,Empogona maputensis,RUBIACEAE,Empogona,maputensis,,,,(Bridson & A.E.van Wyk) Tosh & Robbr.,Endangered,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",3.1,Decreasing,Global
wfo-0001012472,86089594,86089590,Sorbus adeana,ROSACEAE,Sorbus,adeana,,,,N.Mey.,Endangered,D,3.1,Unknown,Global & Europe
wfo-0001014268,86089687,86089642,Sorbus albensis,ROSACEAE,Sorbus,albensis,,,,"M.Lepší, K.Boublík, P.Lepší & P.Vít",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global & Europe
wfo-0001005716,86089793,86089783,Sorbus alnifrons,ROSACEAE,Sorbus,alnifrons,,,,Kovanda,Endangered,B1ab(iii)+2ab(iii); D,3.1,Increasing,Global & Europe
wfo-0001331421,86089841,86089837,Sorbus amici-petri,ROSACEAE,Sorbus,amici-petri,,,,Mikoláš,Endangered,D,3.1,Unknown,Global & Europe
