taxonID,description,type,source,identifier,reference,license
wfo-0000656538,"Flowers white, fragrant.",morphology,urn:kew.org:fwta:spec:desc:2101,urn:lsid:ipni.org:names:97226-1,,
wfo-0000656545,Climber with brown-hairy branches,morphology,urn:kew.org:fwta:spec:desc:2102,urn:lsid:ipni.org:names:97231-1,,
wfo-0000656545,Flowers white.,morphology,urn:kew.org:fwta:spec:desc:2103,urn:lsid:ipni.org:names:97231-1,,
wfo-0000656556,Climber,morphology,urn:kew.org:fwta:spec:desc:2104,urn:lsid:ipni.org:names:97240-1,,
wfo-0000656556,Whitish flowers.,morphology,urn:kew.org:fwta:spec:desc:2105,urn:lsid:ipni.org:names:97240-1,,
wfo-0000705688,A perennial herb about 3 ft. high,morphology,urn:kew.org:fwta:spec:desc:2113,urn:lsid:ipni.org:names:97632-1,,
wfo-0000705688,Bluish-green flowers,morphology,urn:kew.org:fwta:spec:desc:2114,urn:lsid:ipni.org:names:97632-1,,
wfo-0000705729,A perennial herb up to 6 ft. high,morphology,urn:kew.org:fwta:spec:desc:2116,urn:lsid:ipni.org:names:97670-1,,
wfo-0000705729,Cream flowers,morphology,urn:kew.org:fwta:spec:desc:2117,urn:lsid:ipni.org:names:97670-1,,
wfo-0000705729,Bladder-like fruits,morphology,urn:kew.org:fwta:spec:desc:2118,urn:lsid:ipni.org:names:97670-1,,
wfo-0000705759,A perennial herb about 3 ft. high,morphology,urn:kew.org:fwta:spec:desc:2120,urn:lsid:ipni.org:names:97699-1,,
wfo-0000705759,Small bluish flowers,morphology,urn:kew.org:fwta:spec:desc:2121,urn:lsid:ipni.org:names:97699-1,,
wfo-0000706326,A softly hairy climber,morphology,urn:kew.org:fwta:spec:desc:2123,urn:lsid:ipni.org:names:97730-1,,
wfo-0000706326,Greenish-white or cream flowers on short dense cymes.,morphology,urn:kew.org:fwta:spec:desc:2124,urn:lsid:ipni.org:names:97730-1,,
wfo-0000706338,"Climber, woody below",morphology,urn:kew.org:fwta:spec:desc:2125,urn:lsid:ipni.org:names:97741-1,,
wfo-0000706338,Hollow glabrous stems,morphology,urn:kew.org:fwta:spec:desc:2126,urn:lsid:ipni.org:names:97741-1,,
wfo-0000706338,Flowers greenish-yellow.,morphology,urn:kew.org:fwta:spec:desc:2127,urn:lsid:ipni.org:names:97741-1,,
wfo-0000706345,"A small erect shrub, softly hairy",morphology,urn:kew.org:fwta:spec:desc:2128,urn:lsid:ipni.org:names:97745-1,,
wfo-0000706345,Small dense extra-axillary cymes of cream flowers.,morphology,urn:kew.org:fwta:spec:desc:2129,urn:lsid:ipni.org:names:97745-1,,
wfo-0000725665,Succulent herb,morphology,urn:kew.org:fwta:spec:desc:2134,urn:lsid:ipni.org:names:98792-1,,
wfo-0000725665,"Campanulate flowers, pink outside and  crimson blotches inside; corona-lobes blackish-purple.",morphology,urn:kew.org:fwta:spec:desc:2135,urn:lsid:ipni.org:names:98792-1,,
wfo-0000356600,"A woody herb, stiffly erect, to 6 ft. high",morphology,urn:kew.org:fwta:spec:desc:2136,urn:lsid:ipni.org:names:98887-1,,
wfo-0000356600,Creamy white sweet-scented flowers,morphology,urn:kew.org:fwta:spec:desc:2137,urn:lsid:ipni.org:names:98887-1,,
wfo-0000361246,Twiner over shrubs,morphology,urn:kew.org:fwta:spec:desc:2139,urn:lsid:ipni.org:names:98961-1,,
wfo-0000361246,Flowers greenish-yellow.,morphology,urn:kew.org:fwta:spec:desc:2140,urn:lsid:ipni.org:names:98961-1,,
wfo-0000361232,"Erect, leafless shrub with green rather succulent stems, 3-6 ft.high",morphology,urn:kew.org:fwta:spec:desc:2144,urn:lsid:ipni.org:names:98980-1,,
wfo-0000361232,Flowers yellowish,morphology,urn:kew.org:fwta:spec:desc:2145,urn:lsid:ipni.org:names:98980-1,,
wfo-0000371743,Perennial with annual shoots up to 1 ft.high from a tuberous rootstock,morphology,urn:kew.org:fwta:spec:desc:2147,urn:lsid:ipni.org:names:99061-1,,
wfo-0000371743,"Flowers with white, yellow, pink or red petaloid corona, corolla-lobes white, small, ligulate, reflexed",morphology,urn:kew.org:fwta:spec:desc:2148,urn:lsid:ipni.org:names:99061-1,,
wfo-0000384889,Twiner,morphology,urn:kew.org:fwta:spec:desc:2153,urn:lsid:ipni.org:names:100197-1,,
wfo-0000384889,White flowers suffused crimson.,morphology,urn:kew.org:fwta:spec:desc:2154,urn:lsid:ipni.org:names:100197-1,,
wfo-0000392687,An erect simple-stemmed perennial,morphology,urn:kew.org:fwta:spec:desc:2155,urn:lsid:ipni.org:names:100241-1,,
wfo-0000392687,Hispid-hairy all over,morphology,urn:kew.org:fwta:spec:desc:2156,urn:lsid:ipni.org:names:100241-1,,
wfo-0000392687,Inflated bladder-like follicles,morphology,urn:kew.org:fwta:spec:desc:2157,urn:lsid:ipni.org:names:100241-1,,
wfo-0000392701,A hispid hairy perennial very similar to the preceding (Pachycarpus lineolatus),morphology,urn:kew.org:fwta:spec:desc:2159,urn:lsid:ipni.org:names:100259-1,,
wfo-0000392701,"The follicles fusiform, not inflated",morphology,urn:kew.org:fwta:spec:desc:2160,urn:lsid:ipni.org:names:100259-1,,
wfo-0000392173,Twining herbaceous climber 4-6 ft. or more high,morphology,urn:kew.org:fwta:spec:desc:2162,urn:lsid:ipni.org:names:100301-1,,
