wfo-0000769912,Potamogeton nodosus Poir.,Encyc. Suppl. 4: 535. 1816.
wfo-0000769927,Potamogeton octandrus Poir.,Encyc. Suppl. 4: 534. 1816.
wfo-0000769945,Potamogeton perfoliatus L.,Sp. Pl. 1: 126. 1753. 
wfo-0000769966,Potamogeton pusillus L.,Sp. Pl. 1: 127. 1753. 
wfo-0000771225,Stuckenia filiformis (Pers.) Börner,Fl. Deut. Volk 713. 1912.
wfo-0000771224,Stuckenia pectinata (L.) Börner,Fl. Deut. Volk 713. 1912.
wfo-0000770293,Zannichellia palustris L.,Sp. Pl. 2: 969. 1753. 
wfo-0000755321,Aletris glabra Bureau & Franch.,J. Bot. (Morot) 5(10): 156. 1891. 
wfo-0000755325,Aletris gracilis Rendle,J. Bot. 44: 41. 1906. 
wfo-0000755345,Aletris nana S.C.Chen,Acta Phytotax. Sin. 19(4): 503. 1981.
wfo-0000755348,Aletris pauciflora (Klotzsch) Hand.-Mazz.,Symb. Sin. Pt. 7: 1220. 1936.
wfo-0000342477,Burmannia coelestis D.Don,Prodr. Fl. Nepal. 44. 1825.
wfo-0000342490,Burmannia disticha L.,Sp. Pl. 1: 287. 1753. 
wfo-0000342538,Burmannia nepalensis (Miers) Hook.f.,Fl. Brit. India 5: 666. 1888.
wfo-0000388864,Dioscorea alata L.,Sp. Pl. 2: 1033. 1753. 
wfo-0000389246,Dioscorea belophylla (Prain) Voigt ex Haines,Forest Fl. Chota Nagpur 530. 1910. 
wfo-0000389411,Dioscorea bulbifera L.,Sp. Pl. 2: 1033. 1753. 
wfo-0000390472,Dioscorea deltoidea Wall. ex Griseb.,Fl. Brasil. 3(1): 43. 1842. 
wfo-0000390601,Dioscorea esculenta (Lour.) Burkill,Gard. Bull. Straits Settlem. 1: 396. 1917. 
wfo-0000390742,Dioscorea glabra Roxb.,Fl. Ind. 3: 804. 1832. 
wfo-0000390828,Dioscorea hamiltonii Hook.f.,Fl. Brit. India 6: 295. 1892.
wfo-0000391093,Dioscorea hispida Dennst.,Schlüssel Hortus Malab. 33. 1818. 
wfo-0000391496,Dioscorea kamoonensis Kunth,Enum. Pl. 5: 395. 1850. 
wfo-0000392384,Dioscorea melanophyma Prain & Burkill,J. Proc. Asiat. Soc. Bengal 4: 452. 1908. 
wfo-0000393431,Dioscorea pentaphylla L.,Sp. Pl. 2: 1032. 1753. 
wfo-0000394023,Dioscorea prazeri Prain & Burkill,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 73 (Suppl.): 2. 1905. "
wfo-0000394174,Dioscorea pubera Blume,Enum. Pl. Javae 1: 21. 1827.
wfo-0000731477,Pandanus furcatus Roxb.,Fl. Ind. 3: 744. 1832. 
wfo-0000730924,Pandanus odorifer (Forssk.) Kuntze,Regis. Gen. Pl. 2: 737. 1891. 
wfo-0000654789,Helonias yunnanensis (W.W.Sm. & Jeffrey) N.Tanaka,J. Jap. Bot. 73(2): 105. 1998. 
wfo-0000715179,Paris mairei H.Lév.,Repert. Spec. Nov. Regni. Veg. 11: 302. 1912. 
wfo-0000715194,Paris marmorata Stearn,"Bull. Brit. Mus. (Nat. Hist.), Bot. 2: 79. 1956."
wfo-0000715243,Paris polyphylla Sm.,Cyclop. 26: Paris n. 2. 1813. 
wfo-0000715007,Paris thibetica Franch.,"Nouv. Arch. Mus. Hist. Nat. sér. 2, 10: 184. 1888. "
wfo-0000751103,Trillium govanianum Wall. ex Royle,"Ill. Bot. Himal. Mts. 384, pl. 93, f. 1. 1839. "
wfo-0000765542,Disporum calcaratum D.Don,Proc. Linn. Soc. London 1: 45. 1839.
wfo-0000765544,Disporum cantoniense (Lour.) Merr.,Philipp. J. Sci. 15(3): 229. 1919.
wfo-0000769245,Gloriosa superba L.,Sp. Pl. 1: 305. 1753. 
wfo-0000672566,Iphigenia indica (L.) A.Gray ex Kunth,Enum. Pl. 4: 213. 1843. 
wfo-0000740704,Smilax aspera L.,Sp. Pl. 2: 1028. 1753. 
wfo-0000740749,Smilax bockii Warb.,Bot. Jahrb. Syst. 29(2): 259. 1900.
