WFOID,Vernacular_name,LocalID,scientificName,transliteration,Devnagari (preeti),Devnagari (unicode),Language,countryCode,rights,license,bibliographicCitation,compiler
wfo-0000233054,"Sun chanp, Aule chanp, Sirmu (सुन चाँप, औले चाँप, सिर्मु )",NEP00140,Magnolia champaca (L.) Baill. ex Pierre,"Sun chanp, Aule chanp, Sirmu",";'g rfFk, cf}n] rfFk, l;d'{ ","सुन चाँप, औले चाँप, सिर्मु ",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000464769,Rani chanp (रानी चाँप),NEP00142,Magnolia doltsopa (Buch.-Ham. ex DC.) Figlar,Rani chanp,/fgL rfFk,रानी चाँप,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233165,"Khuki chanp, Lali chanp (खुकि चाँप, लाली चाँप)",NEP00145,Magnolia globosa Hook.f. & Thomson,"Khuki chanp, Lali chanp","v'ls rfFk, nfnL rfFk","खुकि चाँप, लाली चाँप",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233202,Bhalu kath (भालु काठ),NEP00147,Magnolia hodgsonii (Hook.f. & Thomson) H.Keng,Bhalu kath,efn' sf7,भालु काठ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233214,Ban kamal (वन कमल),NEP00149,Magnolia insignis Wall.,Ban kamal,jg sdn,वन कमल,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000464882,Ban chanp (वन चाँप),NEP00151,Magnolia kisopa (Buch.-Ham. ex DC.) Figlar,Ban chanp,jg rfFk,वन चाँप,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000464912,"Gogal chanp, Sun champa (गोगल चाँप, सुन चम्पा)",NEP00154,Magnolia lanuginosa (Wall.) Figlar & Noot.,"Gogal chanp, Sun champa","uf]un rfFk, ;'g rDkf","गोगल चाँप, सुन चम्पा",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000527383,"Theki phal, Dhendu jhula (ठेकी फल, ढेँडु झुला)",NEP00158,Alphonsea ventricosa (Roxb.) Hook.f. & Thomson,"Theki phal, Dhendu jhula","7]sL kmn, 9]F8' e'mnf","ठेकी फल, ढेँडु झुला",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000549776,Kanak champa (कनक चम्पा ),NEP00160,Artabotrys hexapetalus (L.f.) Bhandari,Kanak champa,sgs rDkf ,कनक चम्पा ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000642348,Male lahara (माले लहरा ),NEP00162,Desmos chinensis Lour.,Male lahara,dfn] nx/f ,माले लहरा ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000372967,Kali kath (काली काठ ),NEP00171,Miliusa macrocarpa Hook.f. & Thomson,Kali kath,sfnL sf7 ,काली काठ ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000372954,"Kari, Kali (करी, काली)",NEP00172,Miliusa tomentosa (Roxb.) J.Sinclair,"Kari, Kali","s/L, sfnL","करी, काली",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
