WFO_ID,Vernacular,Devnagari,Transliteration,ScientificName,NamepublishedIn
wfo-0000165011,ताप्रे  (Tapre),ताप्रे ,Tapre,,
wfo-0000186208,दोङ्गसिङ् नोबा  (Dongsing noba: Tamang),दोङ्गसिङ् नोबा ,Dongsing noba: Tamang,,
wfo-0000192478,नरीमुरागो  (Narimurago),नरीमुरागो ,Narimurago,,
wfo-0000187906,लक्ष्मण बुटी  (Laxaman buti),लक्ष्मण बुटी ,Laxaman buti,,
wfo-0000187869,लजाउने झार  (Lajaune jhar),लजाउने झार ,Lajaune jhar,,
wfo-0001423300,कुरो झार  (Kuro jhar),कुरो झार ,Kuro jhar,,
wfo-0000203611,प्रवल सिम्बी  (Prawal simbi),प्रवल सिम्बी ,Prawal simbi,,
wfo-0000185027,देब्रे लहरा  (Debre lahara),देब्रे लहरा ,Debre lahara,,
wfo-0001444146,"रातो बाख्रे घाँस, चाम्ले  (Rato bakhre ghans, Chamle)","रातो बाख्रे घाँस, चाम्ले ","Rato bakhre ghans, Chamle",,
wfo-0001035776,सानो भट्टे  (Sano bhatte),सानो भट्टे ,Sano bhatte,,
wfo-0001423320,"मसिनो भटमासे, गहते झार  (Masino bhatmase, Gahate jhar)","मसिनो भटमासे, गहते झार ","Masino bhatmase, Gahate jhar",,
wfo-0000201856,काँडे साखिनु  (Kande sakhinu),काँडे साखिनु ,Kande sakhinu,,
wfo-0000203860,काँडे साखिनु  (Kande sakhinu),काँडे साखिनु ,Kande sakhinu,,
wfo-0001060839,से–मा  (Se-ma: Tibetan),से–मा ,Se-ma: Tibetan,,
wfo-0001342972,कदुजा घाँस  (Kaduja ghans),कदुजा घाँस ,Kaduja ghans,,
wfo-0000213053,"बेउली, तीनपाते झार  (Beulee, Tinpate jhar)","बेउली, तीनपाते झार ","Beulee, Tinpate jhar",,
wfo-0000213062,"बेउली, सेतो बेउली  (Beulee, Seto beulee)","बेउली, सेतो बेउली ","Beulee, Seto beulee",,
wfo-0000185560,बुशुहाङ  (Bushuhang: Tibetan),बुशुहाङ ,Bushuhang: Tibetan,,
wfo-0000188825,तीनपाते झार  (Tinpate jhar),तीनपाते झार ,Tinpate jhar,,
wfo-1000047331,"प्रिस्नी पार्णी, सेतो भट्टे  (Prishni parni, Seto bhatte)","प्रिस्नी पार्णी, सेतो भट्टे ","Prishni parni, Seto bhatte",,
wfo-0000204801,निलो टाँकी  (Nilo tanki),निलो टाँकी ,Nilo tanki,,
wfo-0000178000,प्रिस्नी पार्णी  (Prishni parni),प्रिस्नी पार्णी ,Prishni parni,,
wfo-0000182273,"गन्हाउने खयर, जैत  (Ganhaune khayar, Jait)","गन्हाउने खयर, जैत ","Ganhaune khayar, Jait",,
wfo-0001284776,"बबुल, बबुर  (Babul, Babur)","बबुल, बबुर ","Babul, Babur",,
wfo-0000191329,वन कुलो  (Ban kulo),वन कुलो ,Ban kulo,,
wfo-0000212743,"झुसे कुटुलीकोसा, मुनमुन  (Jhuse kutulikosa, Munmun)","झुसे कुटुलीकोसा, मुनमुन ","Jhuse kutulikosa, Munmun",,
wfo-0000212782,कुटुलीकोसा  (Kutulikosa),कुटुलीकोसा ,Kutulikosa,,
wfo-0000212800,कुटुलीकोसा  (Kutulikosa),कुटुलीकोसा ,Kutulikosa,,
wfo-0000212802,सानो कुटुलीकोसा  (Sano kutulikosa),सानो कुटुलीकोसा ,Sano kutulikosa,,
wfo-0000187878,मास लहरी  (Mas lahari),मास लहरी ,Mas lahari,,
wfo-0001219790,लुइँचे फूल  (Luinche phul),लुइँचे फूल ,Luinche phul,,
wfo-0001100620,बिजकन्ने  (Bijkanne: Chepang),बिजकन्ने ,Bijkanne: Chepang,,
wfo-0001100640,"कुरकुरे झार, फरवरे घाँस  (Kurkure jhar, Farware ghans)","कुरकुरे झार, फरवरे घाँस ","Kurkure jhar, Farware ghans",,
wfo-0001100626,मेथी घाँस  (Methi ghans),मेथी घाँस ,Methi ghans,,
