WFOID,description,type,language,contributor,audience,rightsHolder,created,creator,source,Volume,Part,bibliographicCitation,license,rights,URI
wfo-0000549881,"Moist evergreen forests, 50–180 m alt. Flowering: May–July; fruiting: June–August.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549881,16,1,"Artabotrys venustus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 55. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08288
wfo-0000583376,"Mixed deciduous forests, dry evergreen forests, often on limestone hills, from near sea level to 900 m alt. Flowering: March–June; fruiting: June–September.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000583376,16,1,"Cananga brandisiana . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 57. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08290
wfo-0000749030,"Evergreen forests, 10–400 m alt. Flowering and fruiting throughout the year.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000749030,16,1,"Cyathocalyx harmandii . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 61. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08295
wfo-0000631061,"Dry evergreen and bamboo forests, over limestone, 300–600(–1,000) m alt. Flowering: February–July; fruiting: February–November.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000631061,16,1,"Cyathocalyx martabanicus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 62. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08296
wfo-0000631082,"Primary rain forests, on yellow-red loamy soil or granite bedrock, 50–400(–600) m alt. Flowering and fruiting throughout the year.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000631082,16,1,"Cyathocalyx sumatranus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 62. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08297
wfo-0000743705,"Evergreen forests, 350–900 m alt. Flowering: May–November; fruiting: June–November.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000743705,16,1,"Dasymaschalon acuminatum . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 66. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08299
wfo-0000743706,"Deciduous forests over limestone, 100–500 m alt. Flowering: January (based on sparse data); fruiting: unknown.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000743706,16,1,"Dasymaschalon angustifolium . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 67. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08300
wfo-0000506972,"Evergreen forests, sea level to 300 m alt. Flowering: May–October; fruiting: September–March.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000506972,16,1,"Dasymaschalon dasymaschalum . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 67. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08301
wfo-0000743707,"forests, 200–1,500 m alt. Flowering: May (based on sparse data); fruiting: June–August.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000743707,16,1,"Dasymaschalon echinatum . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 69. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08302
wfo-0000638254,"Evergreen forests, 550–1,300 m alt. Flowering: April–September; fruiting: August–January.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000638254,16,1,"Dasymaschalon filipes . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 71. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08303
