wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-1000052028,Threat status,cr,"Calaramo M.A., Rubite R. & Lin C-W.",,4999,CC0 1.0 Universal (CC0 1.0),"Calaramo M.A., Rubite R. & Lin C-W. 2023, Two new endemic Begonia species named after historical landmarks of Ilocos Sur, Philippines, Phytotaxa. Vol.613(3) , pp.171-179.",
wfo-1000052029,Threat status,en,"O.A. Jara-Munoz, P.W. Moonlight & J.C. Zabala-Rivera",,5004,CC0 1.0 Universal (CC0 1.0),"O.A. Jara-Munoz, P.W. Moonlight & J.C. Zabala-Rivera 2023, A New Species of Begonia (Begoniaceae) from the Eastern Cordillera of Colombia, Phytotaxa. Vol.616(2) , pp.169-175.",
wfo-0000834087,Threat status,cr,Moonlight P.W. et al.,,5011,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823272,Threat status,en,Moonlight P.W. et al.,,5029,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824297,Threat status,dd,Moonlight P.W. et al.,,5035,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823517,Threat status,vu,Moonlight P.W. et al.,,5055,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825024,Threat status,lc,Moonlight P.W. et al.,,5061,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039642,Threat status,en,Moonlight P.W. et al.,,5085,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824652,Threat status,lc,Moonlight P.W. et al.,,5094,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824044,Threat status,lc,Moonlight P.W. et al.,,5138,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
