WFOID,countryCode,locationID,locality,establishmentMeans,source,bibliographicCitation,URI
wfo-0000196901,TH,THA,Thailand,Managed,Flora of Thailand,"Albizia crassiramea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 192. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00841
wfo-0000199744,TH,THA,Thailand,Managed,Flora of Thailand,"Albizia garrettii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 184. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00835
wfo-0000199751,TH,THA,Thailand,Managed,Flora of Thailand,"Albizia Iebbekoides. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 194. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00842
wfo-0000184271,TH,THA,Thailand,Managed,Flora of Thailand,"Albizia lebbeck. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 186. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00836
wfo-0000196896,TH,THA,Thailand,Managed,Flora of Thailand,"Albizia lucidior. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 189. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00839
wfo-0000199754,TH,THA,Thailand,Managed,Flora of Thailand,"Albizia myriophylla. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 198. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00846
wfo-0000185541,TH,THA,Thailand,Managed,Flora of Thailand,"Albizia odoratissima. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 196. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00844
wfo-0000186098,TH,THA,Thailand,Managed,Flora of Thailand,"Albizia procera. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 191. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00840
wfo-0000188054,TH,THA,Thailand,Managed,Flora of Thailand,"Albizia retusa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 189. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00838
wfo-0000199762,TH,THA,Thailand,Managed,Flora of Thailand,"Albizia vialeana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 196. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00843
wfo-0000939798,TH,THA,Thailand,Managed,Flora of Thailand,"Alchornea rugosa. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 44. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03145
wfo-0000939809,TH,THA,Thailand,Managed,Flora of Thailand,"Alchornea rugosa macrocarpa. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 46. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=03147
wfo-0001234632,TH,THA,Thailand,Managed,Flora of Thailand,"Alchornea rugosa rugosa. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 46. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=03146
wfo-0000940007,TH,THA,Thailand,Managed,Flora of Thailand,"Alchornea tiliifolia. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 47. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03148
