WFOID,vernacularName,isPreferredName,identifier,source,language,countryCode,url,rights,license
wfo-0000408851,Spiny Black Olive,1,vrn-0000408851.04,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000310562,Wild Saffron,1,vrn-0000310562.01,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000310562,Milk Berry,1,vrn-0000310562.02,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000310767,Green Thorn,1,vrn-0000310767.01,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000310767,Shake Hand,1,vrn-0000310767.02,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000310975,Willow Bustic,1,vrn-0000310975.01,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000576316,Gum Elemi,1,vrn-0000576316.01,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000576316,Gammalamme,1,vrn-0000576316.02,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000576316,Gumbo limbo,1,vrn-0000576316.03,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000576316,Tourist tree,1,vrn-0000576316.04,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000576454,Box Wood,1,vrn-0000576454.01,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000576928,Guanaberry,1,vrn-0000576928.01,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000576928,Locust Berry,1,vrn-0000576928.02,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000576928,Candle Berry,1,vrn-0000576928.03,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000576928,Plum Berry,1,vrn-0000576928.04,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000576928,Goose Berry,1,vrn-0000576928.05,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000173965,Bahama Brasiletto,1,vrn-0000173965.01,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001429040,Grey Knickers,1,vrn-0001429040.01,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001429040,Knicker Bean,1,vrn-0001429040.02,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001429040,Brier ,1,vrn-0001429040.03,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001049596,Yellow Knickers,1,vrn-0001049596.01,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001049596,Yellow Knicker Bean,1,vrn-0001049596.02,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001443825,Spineless Yellow Knickers,1,vrn-0001443825.01,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001330440,Brasilletto ,1,vrn-0001330440.01,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000578708,Sea Rocket ,1,vrn-0000578708.01,Flora by Common Names. Leon Levy Native Plant Preserve.,EN,BS,https://levypreserve.org/flora-by-common-name/,Leon Levy Native Plant Preserve.,All rights Preserved
