wfo_ID,Familia,Column1,Nombre,Autor,Pub.,Hábito,Formaciones vegetales,Forma de vida,Link stand alone
wfo-0000086844,Compositae,Chaptalia nutans (L.) Pol.,Chaptalia nutans, (L.) Pol.,"Linnaea 41(7): 582, 1878.",Hierba perenne,"Bosques serranos, Bosques de quebradas, Bosques ribereños, Bosques psamófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/chaptalia-nutans
wfo-0000061179,Compositae,Chaptalia piloselloides (Vahl) Baker,Chaptalia piloselloides, (Vahl) Baker,"Fl. Bras. [Martius] 6(3): 378, 1884.",Hierba perenne,"Algarrobales, Palmares, Pastizales mesófilos, Pastizales higrófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/chaptalia-piloselloides
wfo-0000029064,Compositae,Chaptalia sinuata (Less.) Baker,Chaptalia sinuata, (Less.) Baker,"Fl. Bras. [Martius] 6(3): 378, 1884.",Hierba perenne,"Bosques serranos, Algarrobales, Pastizales xerófilos, Pastizales mesófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/chaptalia-sinuata
wfo-0000088389,Compositae,Chevreulia acuminata Less.,Chevreulia acuminata, Less.,"Linnaea 5(3): 360, 1830.",Hierba perenne,"Palmares, Pastizales xerófilos, Pastizales mesófilos",,https://florauruguaya.org/taxonomias/chevreulia-acuminata
wfo-0000021699,Compositae,Chevreulia sarmentosa (Pers.) S.F.Blake,Chevreulia sarmentosa, (Pers.) S.F.Blake,"Proc. Biol. Soc. Washington 38: 85, 1925.",Hierba perenne,"Ambientes urbanos, Algarrobales, Palmares, Pastizales xerófilos, Pastizales mesófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/chevreulia-sarmentosa
wfo-0000081639,Compositae,Chromolaena caaguazuensis (Hieron.) R.M.King & H.Rob.,Chromolaena caaguazuensis, (Hieron.) R.M.King & H.Rob.,"Phytologia 20(3): 199, 1970.",Hierba perenne,Pastizales xerófilos,Hemicriptófita,https://florauruguaya.org/taxonomias/chromolaena-caaguazuensis
wfo-0000114347,Compositae,Chromolaena christieana (Baker) R.M.King & H.Rob.,Chromolaena christieana, (Baker) R.M.King & H.Rob.,"Phytologia 20(3): 200, 1970.",Hierba perenne,Pastizales higrófilos,Hemicriptófita,https://florauruguaya.org/taxonomias/chromolaena-christieana
wfo-0000004687,Compositae,Chromolaena elliptica (Hook. & Arn.) R.M.King & H.Rob.,Chromolaena elliptica, (Hook. & Arn.) R.M.King & H.Rob.,"Phytologia 20(3): 200, 1970.",Hierba perenne,Pastizales xerófilos,Hemicriptófita,https://florauruguaya.org/taxonomias/chromolaena-elliptica
wfo-0000091620,Compositae,Chromolaena gentianoides (B.L.Rob.) R.M.King & H.Rob.,Chromolaena gentianoides, (B.L.Rob.) R.M.King & H.Rob.,"Phytologia 47: 231, 1980.",Hierba perenne,,Hemicriptófita,https://florauruguaya.org/taxonomias/chromolaena-gentianoides
wfo-0000118907,Compositae,Chromolaena hirsuta (Hook. & Arn.) R.M.King & H.Rob.,Chromolaena hirsuta, (Hook. & Arn.) R.M.King & H.Rob.,"Phytologia 20(3): 201, 1970.",Hierba perenne,"Palmares, Matorrales xerófilos, Matorrales mesófilos, Pastizales xerófilos, Pastizales mesófilos, Herbazales psamófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/chromolaena-hirsuta
