WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0000165078,ecology,EN,"Roadsides, clearings, waste–grounds; alt. up to 1100 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000165078,Forest Herbarium,All rights reserved,"Mimosa pigra. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 151. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00801,4,2
wfo-0001374332,ecology,EN,"Along roadsides, in clearings, in rice fields; weedy; alt. up to 850 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001374332,Forest Herbarium,All rights reserved,"Mimosa pudica hispida. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 154. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00804,4,2
wfo-0000179207,ecology,EN,"Along roadsides, in clearings, in rice fields; weedy; alt. up to 400 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000179207,Forest Herbarium,All rights reserved,"Mimosa pudica unijuga. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 154. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00805,4,2
wfo-0000187582,ecology,EN,"Open ground, often wet, at low altitudes, up to ca 200 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000187582,Forest Herbarium,All rights reserved,"Neptunia javanica. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 148. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00796,4,2
wfo-0000165872,ecology,EN,"In and around freshwater ponds, swamps and canals at low altitudes up to ca 300 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000165872,Forest Herbarium,All rights reserved,"Neptunia oleracea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 146. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00795,4,2
wfo-0000196927,ecology,EN,"Uncommon by streams in evergreen forests, dry evergreen forests and mixed eciduous forests of the mountainous areas, alt. up to ca 1000 m (Doi Chiang Dao).",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000196927,Forest Herbarium,All rights reserved,"Parkia leiophylla. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 134. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00782,4,2
wfo-0000199877,ecology,EN,Scattered along the edges of tropical rain forests and in secondary forests in most areas at low altitudes (alt. up to ca 100 m).,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199877,Forest Herbarium,All rights reserved,"Parkia speciosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 136. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00783,4,2
wfo-0000199878,ecology,EN,Scattered by streams in dry evergreen forests in hilly habitats (100–900 m).,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199878,Forest Herbarium,All rights reserved,"Parkia sumatrana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 137. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00784,4,2
wfo-0000178891,ecology,EN,Evergreen forests at low altitudes (up to 100 m).,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000178891,Forest Herbarium,All rights reserved,"Parkia timoriana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 138. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00785,4,2
wfo-0000199853,ecology,EN,Recorded both from poor mixed deciduous forests and bamboo jungles in limestone area and from dry evergreen forests on granitic rock; alt. 200–900. m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199853,Forest Herbarium,All rights reserved,"Pithecellobium tenue. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 205. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00853,4,2
wfo-0000194888,ecology,EN,"In villages, along road-sides; spontaneous on stream and river banks, and in inundatea areas.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000194888,Forest Herbarium,All rights reserved,"Samanea saman. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 202. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00850,4,2
wfo-0000185986,ecology,EN,"In Thailand recorded from lowland forest near sandy sea-shore, at low altitude.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000185986,Forest Herbarium,All rights reserved,"Serianthes grandiflora. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 220. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00867,4,2
wfo-0000199874,ecology,EN,"Dry evergreen forests, mixed deciduous forests, dry deciduous dipterocarp forests (also in fire-influenced forests); alt. up to 850 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199874,Forest Herbarium,All rights reserved,"Xylia xylocarpa kerrii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 150. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00799,4,2
