wfo_id,identifier,bibliographicCitation,creator,date,URL,coreId
wfo-0000213120,urn:kew.org:ftea:spec:ref:24737,"Taub. in Die Pflanzenwelt Ost-Afrikas und der Nachbargebiete, Theile C: 208 (1895).",Taub.,1895,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24738,"Bak. f., Leguminosae of Tropical Africa: 69 (1926).",Bak. f.,1926,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24739,"Battiscombe & Dale, Trees and Shrubs of Kenya Colony p. 75 (1936).",Battiscombe & Dale,1936,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24740,"Robyns, Flore des Spermatophytes du Parc National Albert 1: 284 (1948).",Robyns,1948,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24741,"A.J. Jex-Blake, Some Wild Flowers of Kenya p. 44 (1948).",A.J. Jex-Blake,1948,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24742,"J.P.M. Brenan, Check-lists of the Forest Trees and Shrubs of the British Empire no. 5, part II, Tanganyika Territory p. 404 (1949).",Brenan,1949,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24743,"F. W. Andr., The Flowering Plants of the Anglo-Egyptian Sudan 2: 169 (1952).",F. W. Andr.,1952,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24744,Brenan in Mem. N.Y. Bot. Gard. 8: 249 (1953).,Brenan,1953,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24745,"Wilczek in Flore du Congo Belge et du Ruanda-Urundi, 4: 284, fig. 19 (1953).",Wilczek,1953,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24746,"Hepper in Flora of West Tropical Africa, ed. 2, 1: 552 (1958).",Hepper,1958,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
