LocalID,WFOID,scientificName,Publishedin,Devnagari,transliteration,Ecology,Distribution
NEP10588,wfo-0000830482,Codonopsis benthamii Hook.f. & Thomson ,"J. Proc. Linn. Soc., Bot. 2: 14. 1858. ",,,E Nepal: 2500-3700 m. ,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia."
NEP10590,wfo-0000830483,Codonopsis bhutanica Ludlow,J. Roy. Hort. Soc. 97: 127. 1972.,,,"C, E Nepal: 3300-5500 m. ","Nepal, E Himalaya and Tibetan Plateau."
NEP10592,wfo-0000830486,Codonopsis bragaensis Grey-Wilson,Plantsman 12(2): 99. 1990.,,,C Nepal: 3800-4000 m.,Endemic to Nepal. 
NEP10593,wfo-0001340186,Codonopsis campanulata D.Y.Hong,Pl. Diversity Resources 36(3): 290. 2014.,,,C Nepal: 3800 m.,Nepal and Tibetan Plateau.
NEP10594,wfo-0000830524,Codonopsis gracilis Hook.f. ,Ill. Himal. Pl. pl. 16 A. 1855.,,,E Nepal: 1100-2700 m. ,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia."
NEP10596,wfo-0000830534,Codonopsis inflata Hook.f. & Thomson ,Ill. Himal. Pl. 16C. 1855.,,,E Nepal: 2100-3000 m. ,"Nepal, E Himalaya and Tibetan Plateau."
NEP10598,wfo-0001340185,Codonopsis reflexa D.Y.Hong,Pl. Diversity Resources 36(3): 289. f. 3. 2014.,,,C Nepal: 3500-4000 m. ,Endemic to Nepal. 
NEP10599,wfo-0000830591,Codonopsis rotundifolia Benth.,Ill. Bot. Himal. Mts. pl. 62. 1839.,,,"W, C Nepal: 1800-3900 m.","Nepal, W Himalaya, E Himalaya, Tibetan Plateau and E Asia. "
NEP10603,wfo-0000830598,Codonopsis subsimplex Hook.f. & Thomson ,"J. Proc. Linn. Soc., Bot. 2: 16 1858.",,,"W, C, E Nepal: 2200-4500 m. ","Nepal, E Himalaya, Tibetan Plateau and Assam-Burma."
NEP10604,wfo-0000830600,Codonopsis thalictrifolia Wall.,Fl. Ind. 2: 106. 1824.,,,"C, E Nepal: 3200-4600 m. ","Nepal, E Himalaya and Tibetan Plateau."
NEP10607,wfo-0000830611,Codonopsis viridis Wall.,Fl. Ind. 2: 103. 1824. ,,,"C, E Nepal: 1200-4300 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau and Assam-Burma."
NEP10613,wfo-0000830755,Cyananthus cordifolius Duthie,Bull. Misc. Inform. Kew 1912: 37. 1912.,,,"W, C Nepal: 2600-3400 m. ","Nepal, W Himalaya and Tibetan Plateau."
NEP10614,wfo-0000830767,Cyananthus hayanus C.Marquand,New Fl. & Silv. 8: 207. 1936.,,,C Nepal: 3500-4800 m. ,Endemic to Nepal.
