"                                 eFlora Nepal in World Flora Online (www.worldfloraonline.org).  Source:  Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal (Correspondence: ).",,,,,,,,,,,,,
Order,Family,Genera,Taxon ID,WFO_ID,Taxon names,Literature citation,Nepali name(s),,Distribution in Nepal,Plant images,,General/ global distribution,Comments
,,,,,,,Devnagari,Transliteration,,Plant photos,Herbarium specimen,,
,Aristolochiaceae ,,NEP00122,wfo-0001272026,Isotrema griffithii (Hook.f. & Thomson ex Duch.) C.E.C.Fisch.,,,,,,,,
,Aristolochiaceae ,,NEP00123,wfo-0000431350,Siphisia griffithii Klotzsch ex Duch.,,,,,,,,
,Aristolochiaceae ,,NEP00124,wfo-0000548101,Aristolochia nakaoi F.Maek.,Acta Phytotax. Geobot. 15(6): 173. 1954.,,,C Nepal: 2200 m.,,,Nepal and E Himalaya.,
,Aristolochiaceae ,,NEP00125,wfo-0000732837,Isotrema nakaoi (F.Maek.) A.R.Sm.,,,,,,,,
,Aristolochiaceae ,,NEP00126,wfo-0000548211,Aristolochia platanifolia (Klotzsch) Duch.,Prodr. 15(1): 437. 1864. ,,,E Nepal: 1900-2000 m.,,,"Nepal, E Himalaya and Assam-Burma.",
,Aristolochiaceae ,,NEP00127,wfo-0001265366,Siphisia platanifolia Klotzsch,,,,,,,,
,Aristolochiaceae ,,NEP00128,wfo-0000548243,Aristolochia punjabensis Lace,Bull. Misc. Inform. Kew 1911: 273. 1911. ,e}F;L nx/f,Bhainsi lahara,W Nepal: 1300-2500 m. ,,,Nepal and W Himalaya.,
,Aristolochiaceae ,,NEP00129,wfo-1000032823,"Isotrema punjabense (Lace) X.X.Zhu, S.Liao & J.S.Ma",,,,,,,,
,Aristolochiaceae ,,NEP00130,wfo-0000548292,Aristolochia saccata Wall.,Pl. Asiat. Rar. 2: 2. pl 103. 1830.,,,"W, C Nepal: 2000-2200 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia and E Asia. ",
,Aristolochiaceae ,,NEP00131,wfo-1000032826,"Isotrema saccatum (Wall.) X.X.Zhu, S.Liao & J.S.Ma",,,,,,,,
