WFOID,Country,LocalID,scientificName,Ecology,Distribution,rights,license,bibliographicCitation,compiler
wfo-0000547854,NP,NEP00121,Aristolochia griffithii Hook.f. & Thomson ex Duch.,"W, C, E Nepal: 1300-2900 m. ","Nepal, E Himalaya, Tibetan Plateau and Assam-Burma. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000548101,NP,NEP00124,Aristolochia nakaoi F.Maek.,C Nepal: 2200 m.,Nepal and E Himalaya.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000548211,NP,NEP00126,Aristolochia platanifolia (Klotzsch) Duch.,E Nepal: 1900-2000 m.,"Nepal, E Himalaya and Assam-Burma.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000548243,NP,NEP00128,Aristolochia punjabensis Lace,W Nepal: 1300-2500 m. ,Nepal and W Himalaya.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000548292,NP,NEP00130,Aristolochia saccata Wall.,"W, C Nepal: 2000-2200 m.","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia and E Asia. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000550862,NP,NEP00133,Asarum himalaicum Hook.f. & Thomson ex Klotzsch,"C, E Nepal: 1300-3100 m.","Nepal, E Himalaya, Tibetan Plateau and E Asia.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000724865,NP,NEP00135,Horsfieldia kingii (Hook.f.) Warb.,E Nepal: 100-1300 m.,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001285885,NP,NEP00137,Knema tenuinervia W.J de Wilde,E Nepal: 100-1500 m. ,"Nepal, E Himalaya, Assam-Burma, S Asia and E Asia.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233034,NP,NEP00138,Magnolia campbellii Hook.f. & Thomson,"C, E Nepal: 2000-2800 m. ","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233054,NP,NEP00140,Magnolia champaca (L.) Baill. ex Pierre,"C, E Nepal: 600-1900 m. ","Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000464769,NP,NEP00142,Magnolia doltsopa (Buch.-Ham. ex DC.) Figlar,"C, E Nepal: 1900-2600 m. ","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia and E Asia.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233165,NP,NEP00145,Magnolia globosa Hook.f. & Thomson,E Nepal: 2800-3400 m. ,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
