wfo-0000176081	urn:lsid:ipni.org:names:510642-1
wfo-0000176231	urn:lsid:ipni.org:names:510655-1
wfo-0000176538	urn:lsid:ipni.org:names:525995-1
wfo-0000176644	urn:lsid:ipni.org:names:526049-1
wfo-0000176720	urn:lsid:ipni.org:names:526080-1
wfo-0000176925	urn:lsid:ipni.org:names:473575-1
wfo-0000177197	urn:lsid:ipni.org:names:491794-1
wfo-0000177460	urn:lsid:ipni.org:names:492186-1
wfo-0000177691	urn:lsid:ipni.org:names:493480-1
wfo-0000178138	urn:lsid:ipni.org:names:518477-1
wfo-0000178769	urn:lsid:ipni.org:names:513021-1
wfo-0000178796	urn:lsid:ipni.org:names:469610-1
wfo-0000178897	urn:lsid:ipni.org:names:472223-1
wfo-0000179079	urn:lsid:ipni.org:names:472246-1
wfo-0000179093	urn:lsid:ipni.org:names:473479-1
wfo-0000179094	urn:lsid:ipni.org:names:473859-1
wfo-0000179471	urn:lsid:ipni.org:names:492930-1
wfo-0000179612	urn:lsid:ipni.org:names:493020-1
wfo-0000179628	urn:lsid:ipni.org:names:493042-1
wfo-0000000620	urn:lsid:ipni.org:names:184576-1
wfo-0000001637	urn:lsid:ipni.org:names:259257-1
wfo-0000002542	urn:lsid:ipni.org:names:210801-1
wfo-0000003306	urn:lsid:ipni.org:names:238731-1
wfo-0000003627	urn:lsid:ipni.org:names:113642-3
wfo-0000003724	urn:lsid:ipni.org:names:250041-1
wfo-0000004957	urn:lsid:ipni.org:names:257749-1
wfo-0000005385	urn:lsid:ipni.org:names:190991-1
wfo-0000008103	urn:lsid:ipni.org:names:186166-1
wfo-0000010380	urn:lsid:ipni.org:names:210785-1
wfo-0000013453	urn:lsid:ipni.org:names:210790-1
wfo-0000013798	urn:lsid:ipni.org:names:184618-1
wfo-0000017211	urn:lsid:ipni.org:names:178726-1
wfo-0000020132	urn:lsid:ipni.org:names:257745-1
wfo-0000022519	urn:lsid:ipni.org:names:259122-1
wfo-0000024232	urn:lsid:ipni.org:names:259590-1
wfo-0000027173	urn:lsid:ipni.org:names:258348-1
wfo-0000028285	urn:lsid:ipni.org:names:259245-1
wfo-0000032629	urn:lsid:ipni.org:names:259179-1
wfo-0000032809	urn:lsid:ipni.org:names:186106-1
wfo-0000033054	urn:lsid:ipni.org:names:257911-1
wfo-0000033173	urn:lsid:ipni.org:names:210795-1
wfo-0000034387	urn:lsid:ipni.org:names:897844-1
wfo-0000036669	urn:lsid:ipni.org:names:185832-1
wfo-0000036812	urn:lsid:ipni.org:names:201353-1
wfo-0000040021	urn:lsid:ipni.org:names:259499-1
wfo-0000040619	urn:lsid:ipni.org:names:184609-1
wfo-0000043584	urn:lsid:ipni.org:names:200098-1
wfo-0000043770	urn:lsid:ipni.org:names:257736-1
wfo-0000055920	urn:lsid:ipni.org:names:258384-1
wfo-0000056781	urn:lsid:ipni.org:names:258976-1
wfo-0000060259	urn:lsid:ipni.org:names:250188-1
wfo-0000060570	urn:lsid:ipni.org:names:238732-1
wfo-0000060823	urn:lsid:ipni.org:names:257786-1
wfo-0000060918	urn:lsid:ipni.org:names:210782-1
wfo-0000062805	urn:lsid:ipni.org:names:257726-1
wfo-0000069858	urn:lsid:ipni.org:names:241198-1
wfo-0000073516	urn:lsid:ipni.org:names:941023-1
wfo-0000074593	urn:lsid:ipni.org:names:258004-1
wfo-0000079056	urn:lsid:ipni.org:names:258584-1
wfo-0000080215	urn:lsid:ipni.org:names:185827-1
wfo-0000080891	urn:lsid:ipni.org:names:963158-1
wfo-0000082997	urn:lsid:ipni.org:names:228045-1
wfo-0000083191	urn:lsid:ipni.org:names:185843-1
wfo-0000083220	urn:lsid:ipni.org:names:229022-1
wfo-0000083453	urn:lsid:ipni.org:names:259110-1
wfo-0000084073	urn:lsid:ipni.org:names:258619-1
wfo-0000084903	urn:lsid:ipni.org:names:224939-1
wfo-0000087259	urn:lsid:ipni.org:names:208720-1
wfo-0000087763	urn:lsid:ipni.org:names:257812-1
wfo-0000088482	urn:lsid:ipni.org:names:227913-1
wfo-0000089418	urn:lsid:ipni.org:names:258854-1
wfo-0000092106	urn:lsid:ipni.org:names:238755-1
wfo-0000092508	urn:lsid:ipni.org:names:208956-1
wfo-0000093275	urn:lsid:ipni.org:names:258515-1
wfo-0000115219	urn:lsid:ipni.org:names:238740-1
wfo-0000115606	urn:lsid:ipni.org:names:257785-1
wfo-0000117115	urn:lsid:ipni.org:names:259440-1
wfo-0000121239	urn:lsid:ipni.org:names:201339-1
wfo-0000121907	urn:lsid:ipni.org:names:257819-1
wfo-0000122136	urn:lsid:ipni.org:names:899714-1
wfo-0000122422	urn:lsid:ipni.org:names:191306-1
wfo-0000123946	urn:lsid:ipni.org:names:228048-1
wfo-0000127468	urn:lsid:ipni.org:names:259633-1
wfo-0000129032	urn:lsid:ipni.org:names:259572-1
wfo-0000129107	urn:lsid:ipni.org:names:259639-1
wfo-0000129267	urn:lsid:ipni.org:names:259684-1
wfo-0000129452	urn:lsid:ipni.org:names:205024-1
wfo-0000130257	urn:lsid:ipni.org:names:259444-1
wfo-0000131200	urn:lsid:ipni.org:names:259519-1
wfo-0000132037	urn:lsid:ipni.org:names:250336-1
wfo-0000132951	urn:lsid:ipni.org:names:205029-1
wfo-0000132967	urn:lsid:ipni.org:names:259336-1
wfo-0000133170	urn:lsid:ipni.org:names:185838-1
wfo-0000133724	urn:lsid:ipni.org:names:935012-1
wfo-0000135115	urn:lsid:ipni.org:names:184516-1
wfo-0000137021	urn:lsid:ipni.org:names:258918-1
wfo-0000156947	urn:lsid:ipni.org:names:269595-1
wfo-0000157061	urn:lsid:ipni.org:names:269994-1
wfo-0000157241	urn:lsid:ipni.org:names:270601-1
wfo-0000159619	urn:lsid:ipni.org:names:568938-1
wfo-0000163627	urn:lsid:ipni.org:names:484256-1
wfo-0000164595	urn:lsid:ipni.org:names:485913-1
wfo-0000164941	urn:lsid:ipni.org:names:485333-1
wfo-0000165190	urn:lsid:ipni.org:names:486969-1
wfo-0000166184	urn:lsid:ipni.org:names:509664-1
wfo-0000166195	urn:lsid:ipni.org:names:490993-1
wfo-0000168369	urn:lsid:ipni.org:names:187026-2
wfo-0000170624	urn:lsid:ipni.org:names:516643-1
wfo-0000170688	urn:lsid:ipni.org:names:518039-1
wfo-0000170926	urn:lsid:ipni.org:names:520167-1
wfo-0000170988	urn:lsid:ipni.org:names:521085-1
wfo-0000171442	urn:lsid:ipni.org:names:487136-1
wfo-0000171581	urn:lsid:ipni.org:names:519941-1
wfo-0000171688	urn:lsid:ipni.org:names:490061-1
wfo-0000171828	urn:lsid:ipni.org:names:490106-1
wfo-0000172201	urn:lsid:ipni.org:names:490286-1
wfo-0000172303	urn:lsid:ipni.org:names:490321-1
wfo-0000172325	urn:lsid:ipni.org:names:490328-1
wfo-0000172371	urn:lsid:ipni.org:names:490361-1
wfo-0000173025	urn:lsid:ipni.org:names:316404-2
wfo-0000173112	urn:lsid:ipni.org:names:472667-1
wfo-0000173392	urn:lsid:ipni.org:names:472757-1
wfo-0000173554	urn:lsid:ipni.org:names:472821-1
wfo-0000173565	urn:lsid:ipni.org:names:472822-1
wfo-0000173648	urn:lsid:ipni.org:names:472840-1
wfo-0000173678	urn:lsid:ipni.org:names:472841-1
