taxonID,description,type,language,contributor,audience,rightsHolder,creator,source,rights,license
wfo-0000183731,"Les gousses sont comestibles à l’état jeune, mais cet usage est inconnu au Gabon. Ailleurs, la plante entière est aussi utilisée comme fourrage pour moutons et bœufs, et quelques usages médicinaux ont été notés dans les deux Congo.",use,fre,,,,,ref-Gbn-0000183731,,
wfo-0000183752,"Les gousses sont comestibles, mais non mangées au Gabon. C’est aussi un légume-feuille. Les usages sont semblables à ceux de P. palustris. Un usage moderne, les graines sont ajoutées aux produits riches en protéines pour les enfants mal nourris.",use,fre,,,,,ref-Gbn-0000183752,,
wfo-0000183997,Les graines et les tubercules sont mangés par l’homme. Les tubercules bouillis ont un goût qui se rapproche de celui des pommes de terre.,use,fre,,,,,ref-Gbn-0000183997,,
wfo-0000184029,Une plante de fourrage dans certaines régions ; utilisée aussi comme plante de couverture et à usages médicinaux divers.,use,fre,,,,,ref-Gbn-0000184029,,
wfo-0000185952,"La var. utilis (Wall. ex Wight) Baker ex Burck est un engrais vert et une plante de couverture anti-érosive très utile, avec des gousses non urticantes et des graines comestibles, elle se trouve dans les pays avoisinants et probablement aussi au Gabon.",use,fre,,,,,ref-Gbn-0000185952,,
wfo-0000186225,Une plante de fourrage.,use,fre,,,,,ref-Gbn-0000186225,,
wfo-0000186505,Une espèce potentiellement ornementale. Les tiges ont été utilisées comme ficelle.,use,fre,,,,,ref-Gbn-0000186505,,
wfo-0000186997,Les graines mûres du haricot mungo ou la farine qu’on en tire sont ingrédients de toutes sortes de plats riches en protéines ; souvent mangé comme pousses/germes de graines dans la cuisine chinoise. Les gousses immatures et les jeunes feuilles se consomment en légume.,use,fre,,,,,ref-Gbn-0000186997,,
wfo-0000187232,"L’espèce à plusieurs usages médicinaux, est une ornementale potentielle.",use,fre,,,,,ref-Gbn-0000187232,,
wfo-0000187506,L’espèce est utilisée comme engrais vert et comme plante de couverture. Les fleurs sont comestibles comme légume. La plante a des propriétés médicinales.,use,fre,,,,,ref-Gbn-0000187506,,
wfo-0000188562,"Un excellent fourrage pour chèvres et moutons. Les graines rôties pourraient remplacer le café chez les Fang. En éthiopie et au Malawi, on rapporte l’usage comme légume, les graines bouillies étant comestibles. Les enfants du Malawi déterrent les racines tuberculées et les mastiquent pour en extraire un jus sucré.",use,fre,,,,,ref-Gbn-0000188562,,
wfo-0000188854,"Les graines sont consommées comme légume sec, seules et dans diverses préparations. En Inde, on prépare les galettes papadum avec sa farine. Les graines germées sont également consommées et les gousses vertes le sont comme légume cuit. Elle sert aussi de fourrage et d’engrais vert. En médecine traditionnelle, les graines sont utilisées pour leurs propriétés drainantes, rafraîchissantes et astringentes.",use,fre,,,,,ref-Gbn-0000188854,,
wfo-0000189665,"Espèce résistante aux insectes nuisibles, pouvant ainsi servir à l’amélioration du niébé.",use,fre,,,,,ref-Gbn-0000189665,,
wfo-0000189815,Légume à graine mais nécessitant une longue cuisson. Plante fétiche contre les maraudeurs de plantations.,use,fre,,,,,ref-Gbn-0000189815,,
wfo-0000189858,"Plante de couverture, qui peut servir à la fixation du sable près de la mer.",use,fre,,,,,ref-Gbn-0000189858,,
wfo-0000190433,Les racines ont des applications médicinales diverses. Les feuilles produisent un colorant bleu.,use,fre,,,,,ref-Gbn-0000190433,,
wfo-0000191078,: L’infusion (des feuilles ?) sert comme gargarisme contre les maux de dents.,use,fre,,,,,ref-Gbn-0000191078,,
wfo-0000192567,"Le bois est utilisé en menuiserie. L’écorce est ichtyotoxique, la décoction sert en bain médical pour des petits enfants, et mélangée avec du piment pour aider les femmes qui allaitent. La gousse est toxique. Le bois est dit aphrodisiaque (Towns et al. 2014).",use,fre,,,,,ref-Gbn-0000192567,,
wfo-0000192849,Espèce bien connue comme herbe de couverture et engrais vert.,use,fre,,,,,ref-Gbn-0000192849,,
wfo-0000193367,"Utilisée comme engrais vert et plante de couverture. Les feuilles cuites avec des semences de courgette traitent l’épilepsie des enfants et la diarrhée des adultes. Les femmes Fang l’utilisent comme anti-emménagogue ; utilisée en friction sur les membres rhumatisants, en macération comme vomitif. Les Mindumu dans le Haut-Ogooué appliquent la plante contre les maux de reins ou les éblouissements.",use,fre,,,,,ref-Gbn-0000193367,,
wfo-0000194446,L’espèce est probablement un bon fourrage.,use,fre,,,,,ref-Gbn-0000194446,,
wfo-0000195396,"Citée par Raponda-Walker & Sillans (1961) sans mention d’usage. En République démocratique du Congo, elle est médicinale ou appliquée comme ichtyotoxique (Hauman 1954b).",use,fre,,,,,ref-Gbn-0000195396,,
wfo-0000195655,"Cultivé ailleurs, à petite échelle pour la teinture indigo.",use,fre,,,,,ref-Gbn-0000195655,,
wfo-0000195905,"L’espèce est renommée pour la couleur indigo naturelle, depuis fréquemment copiée par l’industrie chimique.",use,fre,,,,,ref-Gbn-0000195905,,
wfo-0000197844,L’arbre est utilisé en foresterie des zones dégradées ; il protège le trait côtier. Le bois est employé comme flotteurs pour harpons. Les folioles bouillies ont été utilisées pour traiter les palpitations du cœur.,use,fre,,,,,ref-Gbn-0000197844,,
wfo-0000198749,"En Ouganda, les graines bouillies sont consommées et sont très douces, mais après la première ébullition, l’eau est jetée, à cause de ses propriétés toxiques.",use,fre,,,,,ref-Gbn-0000198749,,
wfo-0000198847,"Le bois est utilisé pour des outils de la maison. L’espèce a plusieurs usages médicinaux, elle est parfois plantée comme ornementale. Les feuilles sont anthelminthiques.",use,fre,,,,,ref-Gbn-0000198847,,
wfo-0000198926,: Les feuilles jeunes sont comestibles comme légume. Les feuilles écrasées traitent les parasites du cuir chevelu. De l’eau potable s’écoule de la liane coupée. Le bois découpé est ichtyotoxique (Hauman et al. 1954a).,use,fre,,,,,ref-Gbn-0000198926,,
wfo-0000198978,Plante ichtyotoxique à roténone.,use,fre,,,,,ref-Gbn-0000198978,,
wfo-0000199019,La plante est toxique pour les poissons.,use,fre,,,,,ref-Gbn-0000199019,,
wfo-0000199618,La plante est utilisée comme poison de pêche.,use,fre,,,,,ref-Gbn-0000199618,,
wfo-0000199682,"La liane sert comme amarre solide pour les trains de bois et les embarcations, les fibres pour les pièges à gibier. Les tiges pilonnées et malaxées dans l’eau servent comme poison de pêche et aussi comme lavement et vomitif.",use,fre,,,,,ref-Gbn-0000199682,,
wfo-0000199758,Les ramilles ont été utilisées comme cordage pour cabanes (Sierra Léone).,use,fre,,,,,ref-Gbn-0000199758,,
wfo-0000199769,Une décoction de la tige en gargarisme est utilisée contre les maux de dents. La liane coupée en lanières donne des liens qui servent pour fabriquer des paniers.,use,fre,,,,,ref-Gbn-0000199769,,
wfo-0000199845,Considérée comme laxatif puissant. Le bois est dur. Les graines pilées ont été employées comme vulnéraire.,use,fre,,,,,ref-Gbn-0000199845,,
wfo-0000200088,"Les fleurs décrassent le linge. Les feuilles mélangées avec d’autres essences sont employées en fumigation. Il existe plusieurs usages en médecine traditionnelle en République démocratique du Congo, au Cameroun et en Afrique de l’Ouest. L’espèce est mentionnée comme très ornementale.",use,fre,,,,,ref-Gbn-0000200088,,
wfo-0000200277,"Le bois noir, nervuré de gris, est très beau pour l’ébénisterie de luxe. Il est aussi couramment utilisé pour la parqueterie lourde, les menuiseries intérieures et extérieures et des panneaux intérieurs et extérieurs. On l’emploie également pour les instruments de musique de haute qualité, en particulier pour les guitares. Plusieurs usages en médecine traditionnelle ont été rapportés en République démocratique du Congo et au Cameroun. L’espèce est notée comme menacée de disparition à cause de la surexploitation et de la destruction de l’habitat.",use,fre,,,,,ref-Gbn-0000200277,,
wfo-0000200386,Parfois plantée dans des jardins comme plante ornementale.,use,fre,,,,,ref-Gbn-0000200386,,
wfo-0000200625,"L’espèce a plusieurs usages en médécine traditionelle en Afrique de l’Ouest, la République démocratique du Congo et le Cameroun.",use,fre,,,,,ref-Gbn-0000200625,,
wfo-0000200787,L’écorce macérée sert de purgatif pour les petits enfants (Fernan-Vaz). Plantée en Afrique de l’Ouest comme arbre d’ombrage et ornement.,use,fre,,,,,ref-Gbn-0000200787,,
wfo-0000200860,"Une espèce très ornementale et souvent plantée dans les villages. Le bois doré ou brun noir donne des poteaux et de bois de clôtures des maisons, utilisé pour les charpentes et les planches, il est facile à tourner et à polir. L’écorce est vermifuge. La décoction de feuilles est employée en bains contre la syphilis. Un thé de l’écorce est bien conseillé pour l’état de santé générale (Towns & van Andel 2014). L’arbre fournit un poison pour la chasse et la pêche (Banzouzi et al. 2008).",use,fre,,,,,ref-Gbn-0000200860,,
