WFOID,identifier,vernacularName,isPreferredName,source,language,countryCode,uri,rights,license,bibliographicCitation,Volume,Part
wfo-0001426684,ver-THA-0001426684.04,muan tak ngai (ม้วนตักหงาย)(Northern),,ref-THA-0001426684,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05723,Forest Herbarium,All rights reserved,"Arundina graminifolia graminifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 328. Accessed 2022-04-21",12,2
wfo-0001426684,ver-THA-0001426684.05,hon tak ngai (ห้อนตักหงาย)(Northern),,ref-THA-0001426684,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05723,Forest Herbarium,All rights reserved,"Arundina graminifolia graminifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 328. Accessed 2022-04-21",12,2
wfo-0001426684,ver-THA-0001426684.06,ueang bai phai (เอื้องใบไผ่)(Northern),,ref-THA-0001426684,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05723,Forest Herbarium,All rights reserved,"Arundina graminifolia graminifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 328. Accessed 2022-04-21",12,2
wfo-0001426684,ver-THA-0001426684.07,huan tak ngai (ฮ้วนตักหงาย)(Northern),,ref-THA-0001426684,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05723,Forest Herbarium,All rights reserved,"Arundina graminifolia graminifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 328. Accessed 2022-04-21",12,2
wfo-0001426684,ver-THA-0001426684.08,nam sai (น้ำทราย)(Lampang),,ref-THA-0001426684,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05723,Forest Herbarium,All rights reserved,"Arundina graminifolia graminifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 328. Accessed 2022-04-21",12,2
wfo-0001426684,ver-THA-0001426684.09,yitho pinang (ยี่โถปีนัง)(Bangkok),,ref-THA-0001426684,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05723,Forest Herbarium,All rights reserved,"Arundina graminifolia graminifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 328. Accessed 2022-04-21",12,2
wfo-0001426684,ver-THA-0001426684.10,ya chim fan khwai (หญ้าจิ้มฟันควาย)(Satun),,ref-THA-0001426684,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05723,Forest Herbarium,All rights reserved,"Arundina graminifolia graminifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 328. Accessed 2022-04-21",12,2
wfo-0001426684,ver-THA-0001426684.11,ya phaeng si (หญ้าแผงสี)(Satun),,ref-THA-0001426684,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05723,Forest Herbarium,All rights reserved,"Arundina graminifolia graminifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 328. Accessed 2022-04-21",12,2
wfo-0001426684,ver-THA-0001426684.12,ya yaeng yae (หญ้าแยงแย่)(Satun),,ref-THA-0001426684,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05723,Forest Herbarium,All rights reserved,"Arundina graminifolia graminifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 328. Accessed 2022-04-21",12,2
wfo-0001426684,ver-THA-0001426684.13,bamboo orchid,,ref-THA-0001426684,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05723,Forest Herbarium,All rights reserved,"Arundina graminifolia graminifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 328. Accessed 2022-04-21",12,2
