wfo_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000185282,200149779,200142039,Acacia complanata,FABACEAE,Acacia,complanata,,,,A.Cunn. ex Benth.,Least Concern,,3.1,Unknown,Global
wfo-0000185283,19998210,19891920,Acacia excelsa,FABACEAE,Acacia,excelsa,,,,Benth.,Least Concern,,3.1,Stable,Global
wfo-0000185286,248398209,248398183,Acacia kettlewelliae,FABACEAE,Acacia,kettlewelliae,,,,Maiden,Least Concern,,3.1,Unknown,Global
wfo-0000185290,200149769,200141956,Acacia binervata,FABACEAE,Acacia,binervata,,,,DC.,Least Concern,,3.1,Unknown,Global
wfo-0000185297,177371295,177371293,Acacia calamifolia,FABACEAE,Acacia,calamifolia,,,,Sweet ex Lindl.,Least Concern,,3.1,Stable,Global
wfo-0000185298,199313238,199307421,Acacia cardiophylla,FABACEAE,Acacia,cardiophylla,,,,A.Cunn. ex Benth.,Least Concern,,3.1,Stable,Global
wfo-0000185299,20125119,19891443,Acacia chrysotricha,FABACEAE,Acacia,chrysotricha,,,,Tindale,Endangered,"B1ab(iii,v)",3.1,Unknown,Global
wfo-0000185303,231916972,231914494,Acacia fasciculifera,FABACEAE,Acacia,fasciculifera,,,,F.Muell. ex Benth.,Least Concern,,3.1,Stable,Global
wfo-0000185304,200149794,200142168,Acacia falciformis,FABACEAE,Acacia,falciformis,,,,DC.,Least Concern,,3.1,Stable,Global
wfo-0000185305,177369158,177369156,Acacia flavescens,FABACEAE,Acacia,flavescens,,,,A.Cunn. ex Benth.,Least Concern,,3.1,Stable,Global
wfo-0000185308,198974142,198971663,Acacia hakeoides,FABACEAE,Acacia,hakeoides,,,,A.Cunn. ex Benth.,Least Concern,,3.1,Unknown,Global
wfo-0000185310,22484231,22483863,Acacia lanigera,FABACEAE,Acacia,lanigera,,,,A.Cunn.,Least Concern,,3.1,Stable,Global
wfo-0000185313,146630318,146630316,Acacia latifolia,FABACEAE,Acacia,latifolia,,,,Benth.,Least Concern,,3.1,Stable,Global
wfo-0000185314,20125018,19892119,Acacia montana,FABACEAE,Acacia,montana,,,,Benth.,Least Concern,,3.1,Unknown,Global
wfo-0000185318,193990907,193988242,Acacia oswaldii,FABACEAE,Acacia,oswaldii,,,,F.Muell.,Least Concern,,3.1,Unknown,Global
wfo-0000185319,177373115,177373113,Acacia obtusifolia,FABACEAE,Acacia,obtusifolia,,,,A.Cunn.,Least Concern,,3.1,Stable,Global
wfo-0000185320,207296403,207290861,Acacia pulchella,FABACEAE,Acacia,pulchella,,,,R.Br.,Least Concern,,3.1,Stable,Global
wfo-0000185321,177373708,177373706,Acacia polybotrya,FABACEAE,Acacia,polybotrya,,,,Benth.,Least Concern,,3.1,Stable,Global
wfo-0000185322,177376232,177376230,Acacia rhodoxylon,FABACEAE,Acacia,rhodoxylon,,,,Maiden,Least Concern,,3.1,Stable,Global
wfo-0000185323,200149854,200143256,Acacia rubida,FABACEAE,Acacia,rubida,,,,A.Cunn.,Least Concern,,3.1,Stable,Global
wfo-0000185324,179867726,179862092,Acacia rigens,FABACEAE,Acacia,rigens,,,,A.Cunn. ex G.Don,Least Concern,,3.1,Unknown,Global
wfo-0000185325,200149864,200143313,Acacia stricta,FABACEAE,Acacia,stricta,,,,(Andrews) Willd.,Least Concern,,3.1,Unknown,Global
